timestamp,test-class,test-method,time,description,result
2021-06-24 15:11:29.687,acme.testing.anonymous.shouts.AnonymousShoutListTest,list,4172,"[1] recordIndex=0, moment=2021/06/24 12:30, author=Beatriz Vergara, text=I'm a fly, info=https://www.spotify.com/es/, ticket=aaa-210624-dp, deadline=2021/10/02 17:00, budget=EUR 20.00, important=true",OK
2021-06-24 15:11:33.574,acme.testing.anonymous.shouts.AnonymousShoutListTest,list,3616,"[2] recordIndex=1, moment=2021/06/24 12:30, author=Beatriz Vergara, text=I'm a moon, info=https://www.netflix.com/, ticket=aad-210624-dd, deadline=2021/09/16 17:00, budget=USD 25.00, important=true",OK
2021-06-24 15:11:46.917,acme.testing.anonymous.shouts.ShoutCreateTest,createPositive,4487,"[1] recordIndex=0, author=Shout Test, text=Esto es una prueba, info=https://www.test.com/, deadline=2022/09/16 17:00, budget=USD 80.00, important=true",OK
2021-06-24 15:11:52.412,acme.testing.anonymous.shouts.ShoutCreateTest,createPositive,5254,"[2] recordIndex=0, author=Prueba prueba, text=Esto es una prueba2, info=https://www.test2.com/, deadline=2022/10/16 17:00, budget=EUR 80.00, important=false",OK
2021-06-24 15:11:55.54,acme.testing.anonymous.shouts.ShoutCreateTest,createNegative,2591,"[1] author=Shout Test, text=sex, info=https://www.test.com/, deadline=2020/09/16 17:00, budget=USD 80.00, important=true",OK
2021-06-24 15:11:58.269,acme.testing.anonymous.shouts.ShoutCreateTest,createNegative,2212,"[2] author=Prueba prueba, text=Esto es una prueba2, info=.test2.com/, deadline=2020/09/16 17:00, budget=CCC 80.00, important=false",OK
