timestamp,test-class,test-method,time,description,result
2021-06-09 10:12:13.382,acme.testing.anonymous.shouts.AnonymousShoutListTest,list,7524,"[1] recordIndex=0, moment=2021/05/24 17:20, author=Ivan LLamas, text=I'm smart, info=https://www.spotify.com/es/, ticket=aaa-210524-yd, deadline=2021/09/16 17:00, budget=USD 80.00, important=true",OK
2021-06-09 10:12:17.64,acme.testing.anonymous.shouts.AnonymousShoutListTest,list,3389,"[2] recordIndex=1, moment=2021/05/24 12:30, author=Beatriz Vergara, text=I'm a moon, info=https://www.netflix.com/, ticket=aaa-210524-dp, deadline=2021/10/02 17:00, budget=EUR 20.00, important=true",Expected value 'aaa-210524-dp' in attribute 4 of record 1, but found 'aad-210524-dd'
2021-06-09 10:13:04.629,acme.testing.anonymous.shouts.ShoutCreateTest,createPositive,33081,"[1] recordIndex=0, author=Shout Test, text=Esto es una prueba, info=https://www.test.com/, deadline=2022/09/16 17:00, budget=USD 80.00, important=true",Cannot find 'By.name: deadline'
2021-06-09 10:13:36.58,acme.testing.anonymous.shouts.ShoutCreateTest,createPositive,31426,"[2] recordIndex=0, author=Prueba prueba, text=Esto es una prueba2, info=https://www.test2.com/, deadline=2020/09/16 17:00, budget=EUR 80.00, important=false",Cannot find 'By.name: deadline'
2021-06-09 10:14:08.767,acme.testing.anonymous.shouts.ShoutCreateTest,createNegative,31440,"[1] author=Shout Test, text=sex, info=https://www.test.com/, deadline=2020/09/16 17:00, budget=USD 80.00, important=true",Cannot find 'By.name: deadline'
2021-06-09 10:14:40.692,acme.testing.anonymous.shouts.ShoutCreateTest,createNegative,31317,"[2] author=Prueba prueba, text=Esto es una prueba2, info=.test2.com/, deadline=2020/09/16 17:00, budget=CCC 80.00, important=false",Cannot find 'By.name: deadline'
